,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2019-12-02,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0
2019-12-04,0.0,0.0,0.0
2019-12-05,0.0,0.0,0.0
2019-12-06,0.0,0.0,0.0
2019-12-09,0.0,0.0,0.0
2019-12-10,0.0,0.0,0.0
2019-12-11,0.0,0.0,0.0
2019-12-12,0.0,0.0,0.0
2019-12-13,0.0,0.0,0.0
2019-12-16,0.0,0.0,0.0
2019-12-17,0.0,0.0,0.0
2019-12-18,0.0,0.0,0.0
2019-12-19,0.0,0.0,0.0
2019-12-20,0.0,0.0,0.0
2019-12-23,0.0,0.0,0.0
2019-12-24,0.0,0.0,0.0
2019-12-25,0.0,0.0,0.0
2019-12-26,0.0,0.0,0.0
2019-12-27,0.0,0.0,0.0
2019-12-30,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0
2020-01-01,99940.0,0.0,99940.0
2020-01-02,1312.240384179866,1312.2403841798675,-1.5916157281026244e-12
2020-01-03,-828.8757692265208,-828.8757692265452,2.4442670110147446e-11
2020-01-06,778.3941504448885,778.3941504449466,-5.809397407574579e-11
2020-01-07,-120.42194104543887,-120.42194104548828,4.941114184475737e-11
2020-01-08,959.2797941391473,959.2797941391798,-3.2514435588382185e-11
2020-01-09,620.0655450090708,620.0655450090633,7.503331289626658e-12
2020-01-10,-359.6471390380757,-359.6471390380801,4.433786671143025e-12
2020-01-13,1423.7640764101525,1423.7640764101327,1.978150976356119e-11
2020-01-14,-74.85242265931447,-74.8524226592927,-2.177102942368947e-11
2020-01-15,137.05668047702056,137.05668047701081,9.748646334628575e-12
2020-01-16,657.2409208897734,657.240920889766,7.389644451905042e-12
2020-01-17,263.81592336590984,263.81592336594457,-3.47313289239537e-11
2020-01-20,0.0,0.0,0.0
2020-01-21,493.66670611401787,493.6667061139815,3.637978807091713e-11
2020-01-22,163.17299904240645,163.17299904242435,-1.7905676941154525e-11
2020-01-23,343.30622380774,343.30622380773013,9.890754881780595e-12
2020-01-24,-864.8171545194637,-864.817154519436,-2.7625901566352695e-11
2020-01-27,-1837.8925067421515,-1837.892506742183,3.1604940886609256e-11
2020-01-28,1299.375389839348,1299.375389839321,2.6830093702301383e-11
2020-01-29,321.2239347625291,321.223934762584,-5.491074261954054e-11
2020-01-30,949.1757743201451,949.1757743201377,7.389644451905042e-12
2020-01-31,-1757.143797269382,-1757.1437972693686,-1.3415046851150692e-11
2020-02-03,-2117.4563329680823,1840.6714393335978,-3958.12777230168
2020-02-04,2331.736964644748,2331.736964644752,-4.092726157978177e-12
2020-02-05,133.40204356762115,133.40204356758466,3.6493474908638746e-11
2020-02-06,472.49496604833985,472.49496604833985,0.0
2020-02-07,-62.26865007093875,-62.26865007090292,-3.582556473702425e-11
2020-02-10,999.0632912828878,999.0632912828612,2.660272002685815e-11
2020-02-11,1.65571777272271,1.6557177727536754,-3.0965452424425166e-11
2020-02-12,1013.0003125276708,1013.0003125276323,3.842615114990622e-11
2020-02-13,15.68564087690902,15.68564087691146,-2.440714297335944e-12
2020-02-14,317.35113106740755,317.3511310674036,3.922195901395753e-12
2020-02-17,0.0,0.0,0.0
