,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2019-12-02,0.0,0.0,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0,0.0,0.0
2019-12-04,0.0,0.0,0.0,0.0,0.0
2019-12-05,0.0,0.0,0.0,0.0,0.0
2019-12-06,0.0,0.0,0.0,0.0,0.0
2019-12-09,0.0,0.0,0.0,0.0,0.0
2019-12-10,0.0,0.0,0.0,0.0,0.0
2019-12-11,0.0,0.0,0.0,0.0,0.0
2019-12-12,0.0,0.0,0.0,0.0,0.0
2019-12-13,0.0,0.0,0.0,0.0,0.0
2019-12-16,0.0,0.0,0.0,0.0,0.0
2019-12-17,0.0,0.0,0.0,0.0,0.0
2019-12-18,0.0,0.0,0.0,0.0,0.0
2019-12-19,0.0,0.0,0.0,0.0,0.0
2019-12-20,0.0,0.0,0.0,0.0,0.0
2019-12-23,0.0,0.0,0.0,0.0,0.0
2019-12-24,0.0,0.0,0.0,0.0,0.0
2019-12-25,0.0,0.0,0.0,0.0,0.0
2019-12-26,0.0,0.0,0.0,0.0,0.0
2019-12-27,0.0,0.0,0.0,0.0,0.0
2019-12-30,0.0,0.0,0.0,0.0,0.0
2019-12-31,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0
2020-01-02,488.23013540716784,488.23013540715516,488.2301354071552,1.2676082405960187e-11,1.261923898709938e-11
2020-01-03,-547.0356997829804,-547.0356997829729,-547.0356997829729,-7.503331289626658e-12,-7.503331289626658e-12
2020-01-06,392.4924834046542,392.49248340468705,392.492483404687,-3.285549610154703e-11,-3.2798652682686225e-11
2020-01-07,-134.13861286149768,-134.13861286150507,-134.13861286150504,7.389644451905042e-12,7.361222742474638e-12
2020-01-08,1031.6111045201396,1031.6111045201023,1031.6111045201023,3.728928277269006e-11,3.728928277269006e-11
2020-01-09,1167.2906755279255,1167.2906755279632,1167.2906755279632,-3.774403012357652e-11,-3.774403012357652e-11
2020-01-10,85.50668744299037,85.50668744300725,85.5066874430072,-1.688249540165998e-11,-1.6825651982799172e-11
2020-01-13,1315.9353699791682,1315.9353699791607,1315.935369979161,7.503331289626658e-12,7.275957614183426e-12
2020-01-14,84.22049358699587,84.22049358699658,84.22049358699655,-7.105427357601002e-13,-6.821210263296962e-13
2020-01-15,264.52507685923774,264.52507685923314,264.5250768592332,4.604316927725449e-12,4.547473508864641e-12
2020-01-16,654.8234770610143,654.8234770609995,654.8234770609994,1.4779288903810084e-11,1.48929757415317e-11
2020-01-17,141.0104914578842,141.01049145791023,141.01049145791026,-2.603428583825007e-11,-2.6062707547680475e-11
2020-01-20,0.0,0.0,0.0,0.0,0.0
2020-01-21,845.2665459196724,845.2665459196178,845.2665459196179,5.4569682106375694e-11,5.445599526865408e-11
2020-01-22,334.82968686787353,334.82968686788655,334.82968686788655,-1.3017142919125035e-11,-1.3017142919125035e-11
2020-01-23,38.446782324957894,38.44678232495788,38.44678232495788,1.4210854715202004e-14,1.4210854715202004e-14
2020-01-24,-681.115694185457,-681.1156941854407,-681.1156941854405,-1.6257217794191092e-11,-1.6484591469634324e-11
2020-01-27,-1167.555212320498,-1167.5552123205202,-1167.5552123205202,2.2282620193436742e-11,2.2282620193436742e-11
2020-01-28,1091.554718216532,1091.5547182165594,1091.5547182165594,-2.751221472863108e-11,-2.751221472863108e-11
2020-01-29,225.9988220436935,225.998822043717,225.998822043717,-2.3504753698944114e-11,-2.3504753698944114e-11
2020-01-30,1174.3537144227157,1174.3537144226623,1174.3537144226623,5.3432813729159534e-11,5.3432813729159534e-11
2020-01-31,-1955.7802000164666,-1955.7802000164418,-1955.7802000164418,-2.4783730623312294e-11,-2.4783730623312294e-11
2020-02-03,3678.805353653879,3678.805353653897,3678.805353653896,-1.77351466845721e-11,-1.6825651982799172e-11
2020-02-04,3905.340799356971,3905.340799356962,3905.3407993569613,8.640199666842818e-12,9.549694368615746e-12
2020-02-05,-2395.8576235811634,-2395.857623581159,-2395.8576235811593,-4.547473508864641e-12,-4.092726157978177e-12
2020-02-06,830.9411937811092,830.9411937810913,830.9411937810911,1.7848833522293717e-11,1.807620719773695e-11
2020-02-07,-193.27368972919066,-193.27368972917276,-193.27368972917282,-1.7905676941154525e-11,-1.7848833522293717e-11
2020-02-10,972.8828017387277,972.8828017387286,972.8828017387285,-9.094947017729282e-13,-7.958078640513122e-13
2020-02-11,-862.1732770585659,-862.1732770585639,-862.1732770585637,-1.9326762412674725e-12,-2.1600499167107046e-12
2020-02-12,102.33159841352608,102.3315984135175,102.33159841351751,8.58335624798201e-12,8.569145393266808e-12
2020-02-13,888.2293885337858,888.229388533768,888.2293885337681,1.7848833522293717e-11,1.77351466845721e-11
2020-02-14,171.3836970058037,171.38369700583706,171.3836970058371,-3.3367086871294305e-11,-3.339550858072471e-11
2020-02-17,0.0,0.0,0.0,0.0,0.0
2020-02-18,1479.1960143865872,1479.1960143865613,1479.196014386561,2.5920599000528455e-11,2.6147972675971687e-11
2020-02-19,1751.636250376352,1751.6362503763555,1751.6362503763557,-3.410605131648481e-12,-3.637978807091713e-12
2020-02-20,-399.38233994205075,-399.3823399420307,-399.3823399420307,-2.006572685786523e-11,-2.006572685786523e-11
2020-02-21,-780.8151109963947,-780.8151109964393,-780.8151109964392,4.46789272245951e-11,4.4565240386873484e-11
2020-02-24,-4619.950267284483,-4619.950267284426,-4619.950267284426,-5.638867150992155e-11,-5.638867150992155e-11
2020-02-25,-2847.926122595716,-2847.926122595749,-2847.92612259575,3.2741809263825417e-11,3.3651303965598345e-11
2020-02-26,-727.2492045944527,-727.2492045944476,-727.2492045944476,-5.115907697472721e-12,-5.115907697472721e-12
2020-02-27,-6500.941208640725,-6500.941208640733,-6500.941208640734,8.185452315956354e-12,9.094947017729282e-12
2020-02-28,-1006.0338284345053,-1006.03382843452,-1006.0338284345202,1.4779288903810084e-11,1.48929757415317e-11
2020-03-02,7153.472480833516,7153.472480833577,7153.472480833577,-6.093614501878619e-11,-6.093614501878619e-11
