,Monatlicher PnL (Portfolio Value),Monatlicher PnL (Summe Tages-PnL),Monatlicher PnL (True Portfolio-PnL)
2020-01-31,103818.12777230167,3878.127772301696,103818.12777230167
2020-02-29,-9562.53716408048,-5604.4093917788,-9562.53716408048
2020-03-31,-2634.5148639337276,-8158.924255712562,-2634.5148639337276
2020-04-30,23138.846384869656,15059.922129157136,23138.846384869656
2020-05-31,-10477.569060770154,4662.3530683869685,-10477.569060770154
2020-06-30,-447.2510778820142,4295.101990504922,-447.2510778820142
2020-07-31,1689.913571937941,6065.015562442881,1689.913571937941
2020-08-31,5891.832523848454,12036.848086291322,5891.832523848454
2020-09-30,-17140.696322376607,-5023.848236085246,-17140.696322376607
2020-10-31,667.5760889893863,-4276.272147095878,667.5760889893863
2020-11-30,16565.54703687632,12369.274889780414,16565.54703687632
2020-12-31,-6840.596986249002,5608.677903531433,-6840.596986249002
2021-01-31,-5545.967984999297,142.70991853212422,-5545.967984999297
2021-02-28,2201.022691351216,2423.7326098833632,2201.022691351216
2021-03-31,-198.26386667595943,2305.4687432073824,-198.26386667595943
2021-04-30,2909.231661932019,5294.700405139423,2909.231661932019
2021-05-31,-4759.083119580435,615.6172855589848,-4759.083119580435
2021-06-30,3718.795795511396,4414.413081070382,3718.795795511396
2021-07-31,-1989.10750544662,2505.305575623755,-1989.10750544662
2021-08-31,665.3089668191969,3250.6145424429424,665.3089668191969
2021-09-30,-6707.046554754896,-3376.4320123119214,-6707.046554754896
2021-10-31,12175.042112618801,8878.610100306854,12175.042112618801
2021-11-30,-8618.6780945356,339.93200577123866,-8618.6780945356
2021-12-31,5139.372637030989,5559.30464280225,5139.372637030989
2022-01-31,-10372.861008154578,-4733.556365352337,-10372.861008154578
2022-02-28,1774.1305684561084,-2879.425796896228,1774.1305684561084
2022-03-31,8844.890300771687,6045.464503875456,8844.890300771687
2022-04-30,-16608.660187202913,-10483.19568332743,-16608.660187202913
2022-05-31,9681.345470795874,-721.8502125315615,9681.345470795874
2022-06-30,-6896.026033562783,-7537.8762460943635,-6896.026033562783
2022-07-31,17637.839261138753,10179.963015044388,17637.839261138753
2022-08-31,-15555.624265707593,-5295.661250663183,-15555.624265707593
2022-09-30,-2101.6677198901307,-7317.328970553324,-2101.6677198901307
2022-10-31,13937.713394067774,6700.384423514431,13937.713394067774
2022-11-30,-341.8853612195526,6438.499062294891,-341.8853612195526
2022-12-31,-12769.673211189714,-6251.174148894805,-12769.673211189714
2023-01-31,14929.629531806248,8758.455382911441,14929.629531806248
2023-02-28,-9107.60642167565,-269.1510387642089,-9107.60642167565
2023-03-31,6627.6553185033845,6438.5042797391725,6627.6553185033845
2023-04-30,-3803.153142493218,2715.351137245946,-3803.153142493218
2023-05-31,3062.2646692108246,5857.615806456794,3062.2646692108246
2023-06-30,1121.306182878645,7058.921989335415,1121.306182878645
2023-07-31,-3498.32097881104,3640.601010524376,-3498.32097881104
2023-08-31,-3243.900071791257,476.70093873313965,-3243.900071791257
2023-09-30,-4053.386834974517,-3496.685896241419,-4053.386834974517
2023-10-31,2022.9617997088644,-1393.7240965325452,2022.9617997088644
2023-11-30,9481.202267780027,8167.478171247476,9481.202267780027
2023-12-31,-4736.474384581583,3511.003786665923,-4736.474384581583
2024-01-31,649.7937730096746,4240.79755967559,649.7937730096746
2024-02-29,2937.0168804934365,7257.814440169013,2937.0168804934365
2024-03-31,-5482.246824576403,1855.5676155926137,-5482.246824576403
2024-04-30,-5172.931327079568,-3237.3637114869425,-5172.931327079568
2024-05-31,8455.016067868011,5297.652356381067,8455.016067868011
2024-06-30,-203.9273627755465,5173.724993605515,-203.9273627755465
2024-07-31,-4085.998176248744,1167.7268173567631,-4085.998176248744
2024-08-31,2688.024882624275,3935.75169998101,2688.024882624275
2024-09-30,-2397.025542954565,1618.7261570264989,-2397.025542954565
2024-10-31,-1743.992532141332,-45.266375114863195,-1743.992532141332
2024-11-30,5929.993900898204,5964.727525783337,5929.993900898204
2024-12-31,-5039.065172737173,1005.6623530461434,-5039.065172737173
2025-01-31,2620.3363998960413,3705.998752942236,2620.3363998960413
2025-02-28,-4152.648476928589,-366.64972398635723,-4152.648476928589
2025-03-31,-5016.589932004776,-5303.239655991119,-5016.589932004776
2025-04-30,5421.853836442751,198.61418045159942,5421.853836442751
2025-05-31,4114.192362935661,4392.806543387243,4114.192362935661
