,Monthly PnL (Portfolio Value Diff),Monthly PnL (Market-based),Monthly PnL (Summe Tages-PnL),Rebalancing Impact
2020-01-31,4850.470845875723,4850.470845875735,4850.470845875736,-1.1823431123048067e-11
2020-02-29,-6552.855575610505,-6552.8555756105225,-6552.855575610526,1.7280399333685637e-11
2020-03-31,-5290.877771038999,-5290.877771038939,-5290.877771038932,-6.002665031701326e-11
2020-04-30,17602.093440619283,17602.09344061926,17602.093440619265,2.1827872842550278e-11
2020-05-31,6112.746189938058,6112.746189938058,6112.746189938058,0.0
2020-06-30,12094.99802967059,12094.998029670578,12094.99802967058,1.2732925824820995e-11
2020-07-31,20410.50743594799,20410.50743594794,20410.507435947937,5.093170329928398e-11
2020-08-31,38583.56978221482,38583.56978221479,38583.56978221479,2.9103830456733704e-11
2020-09-30,-12936.413270746998,-12936.413270747078,-12936.413270747076,8.003553375601768e-11
2020-10-31,-9016.111186201102,-9016.1111862012,-9016.1111862012,9.822542779147625e-11
2020-11-30,27098.108790187864,27098.108790188006,27098.10879018801,-1.418811734765768e-10
2020-12-31,13041.266074241837,13041.266074241768,13041.266074241768,6.912159733474255e-11
2021-01-31,6516.297578968399,6516.297578968239,6516.297578968236,1.6007106751203537e-10
2021-02-28,-6822.79732156152,-6822.79732156169,-6822.797321561688,1.7007550923153758e-10
2021-03-31,-4885.259756416315,-4885.25975641635,-4885.259756416351,3.456079866737127e-11
2021-04-30,10230.358445923717,10230.358445923677,10230.358445923677,4.001776687800884e-11
2021-05-31,-1136.099939710315,-1136.099939710335,-1136.0999397103367,2.000888343900442e-11
2021-06-30,23437.74228749558,23437.742287495534,23437.742287495526,4.729372449219227e-11
2021-07-31,2104.0425615670683,2104.0425615670583,2104.042561567062,1.000444171950221e-11
2021-08-31,16186.009752814134,16186.009752814123,16186.009752814121,1.0913936421275139e-11
2021-09-30,-8485.301289077586,-8485.301289077528,-8485.30128907753,-5.820766091346741e-11
2021-10-31,34059.18003645656,34059.18003645649,34059.18003645649,6.548361852765083e-11
2021-11-30,4711.2557336748,4711.255733674721,4711.255733674719,7.821654435247183e-11
2021-12-31,7665.640872044023,7665.64087204397,7665.640872043969,5.275069270282984e-11
2022-01-31,-20552.447760169278,-20552.447760169238,-20552.44776016923,-4.001776687800884e-11
2022-02-28,2327.8235729038133,2327.8235729039034,2327.8235729039034,-9.00399754755199e-11
2022-03-31,24002.269161351316,24002.269161351374,24002.269161351374,-5.820766091346741e-11
2022-04-30,-19150.425608279766,-19150.425608279722,-19150.42560827972,-4.3655745685100555e-11
2022-05-31,4904.7341861173045,4904.734186117246,4904.7341861172445,5.820766091346741e-11
2022-06-30,-10255.15996506036,-10255.159965060284,-10255.159965060288,-7.639755494892597e-11
2022-07-31,14722.66769302002,14722.667693019994,14722.667693019992,2.546585164964199e-11
2022-08-31,-13238.124777656107,-13238.12477765633,-13238.124777656332,2.2373569663614035e-10
2022-09-30,-10818.146796689573,-10818.146796689603,-10818.146796689603,3.092281986027956e-11
2022-10-31,32269.64875915725,32269.64875915742,32269.648759157422,-1.673470251262188e-10
2022-11-30,12234.215410919685,12234.215410919596,12234.215410919594,8.913048077374697e-11
2022-12-31,-10821.426539262175,-10821.426539262304,-10821.426539262304,1.291482476517558e-10
2023-01-31,-3978.126813433657,-3978.1268134336915,-3978.1268134336897,3.456079866737127e-11
2023-02-28,-8971.165729327593,-8971.165729327604,-8971.165729327597,1.0913936421275139e-11
2023-03-31,11546.900120683247,11546.900120683418,11546.900120683418,-1.709850039333105e-10
2023-04-30,13013.420276442135,13013.42027644205,13013.42027644205,8.549250196665525e-11
2023-05-31,-8275.595964315464,-8275.5959643155,-8275.595964315502,3.637978807091713e-11
2023-06-30,16680.271672164905,16680.271672164883,16680.271672164887,2.1827872842550278e-11
2023-07-31,9762.765775330015,9762.765775329997,9762.765775329999,1.8189894035458565e-11
2023-08-31,17729.209922040987,17729.209922040925,17729.20992204092,6.184563972055912e-11
2023-09-30,-14277.128279257624,-14277.128279257671,-14277.128279257671,4.729372449219227e-11
2023-10-31,-4167.446909981081,-4167.446909981204,-4167.446909981205,1.227817847393453e-10
2023-11-30,28824.634214091,28824.634214091217,28824.63421409122,-2.1827872842550278e-10
2023-12-31,14440.491144194384,14440.491144194284,14440.491144194286,1.000444171950221e-10
2024-01-31,32816.58911072678,32816.58911072696,32816.58911072697,-1.8189894035458565e-10
2024-02-29,53692.53246719937,53692.532467199155,53692.53246719915,2.1827872842550278e-10
2024-03-31,22270.00018032815,22270.000180328145,22270.000180328145,3.637978807091713e-12
2024-04-30,-25278.52807856328,-25278.528078563293,-25278.528078563297,1.4551915228366852e-11
2024-05-31,40556.784118594136,40556.78411859414,40556.78411859415,-7.275957614183426e-12
2024-06-30,33795.89542964427,33795.89542964443,33795.89542964443,-1.6007106751203537e-10
2024-07-31,-12496.6743264611,-12496.674326461105,-12496.674326461094,5.4569682106375694e-12
2024-08-31,40801.588009593484,40801.58800959371,40801.58800959371,-2.255546860396862e-10
2024-09-30,-12478.724233774352,-12478.724233774294,-12478.72423377429,-5.820766091346741e-11
2024-10-31,1899.0314853801392,1899.0314853798973,1899.0314853798973,2.419255906715989e-10
